old_tag,new_tags,count,SURJ Action,SURJ Demo Chapter,SURJ Bay Area,Showing Up for Racial Justice NYC
Volunteer Interest - Digital - 2016,?Tech,22,,,,
Demo - Interest - Human Billboard,IGNORE,3,,Human Billboard,,
#Phone Bank,!Phone Bank,3,,,,
eoy_donor_2015,IGNORE,280,Donor EOY 2015,,,
SURJ Action - Phone Bank - Volunteer - 12/13,!Phone Bank,333,,,,
NYC_Neighbor_BX,IGNORE,17,,,,
#Letter Writing,IGNORE,7,,,,
SURJ Action - Phone Bank - Volunteer - 12/15,!Phone Bank,227,,,,
kosher,IGNORE,3,,,,
NYC_Phonebank_Dec16,!Phone Bank,28,,,,
Design,?Graphic Design,817,,,,
Start Chapter or Affiliate Group,IGNORE,67,,,,
pledge_faith,#Faith,108,,,,
trump-splash,#Trump,10625,,,,
connect with local lead,IGNORE,350,,,,
SURJ Bay Area - Training - Direct Action,"?Direct Action,!Training Direct Action",37,,,,
SURJ Bay Area - Origin - Film 2017-04,IGNORE,8,,,,
Leader,IGNORE,128,,,,
NYC_Comms_WG,IGNORE,93,,,,
whiteppledoorknockcall,!Conference Call,76,,,,
NYC_Attend_Feb17_Neighbor,IGNORE,44,,,,
DA NYC Outreach,?Direct Action,64,,,,
NYC_Attend_Feb17_Immigration,#Immigration,37,,,,
@National,IGNORE,11065,,,,
California,IGNORE,14,,,,
WPC Institute2015,IGNORE,18,,,,
families,#Families,2322,,,,
signed pwc statement,#Poor Working Class,197,,,,
#Displacement,#Displacement,74,,,,
phone banking,!Phone Bank,21,,,,
conference-call-mapping-your-action-3-30-16,!Conference Call,47,,,,
NYC_Attend_Nakagawa_Dec16,IGNORE,108,,,,
Action,IGNORE,7612,,,,
Basebuilding,#Basebuilding,6107,,,,
white_faith_communites_retreat_paid,#Faith,11,,,,
petition c4 resist,!Petition,290,,,,
NYC_Comms,?Comms,883,,,,
SURJ Bay Area - Interest - Youth & Families,#Families,151,,,,
NYC_DA_Feb17,!Direct Action,37,,,,
NYC_Neighbor_Morningside,IGNORE,1,,,,
NYC_Neighbor_LIC,IGNORE,1,,,,
NYC_Attend_Mar17_Press,IGNORE,2,,,,
pledge_fr,IGNORE,103,,,,
NYC_Neighbor_UWS,IGNORE,3,,,,
donor_c4,IGNORE,875,Donor c4,,,
#Bay Resistance,IGNORE,11,,,,
Volunteer Interest - Website - 2016,?Web Design,7,,,,
NYC_Neighbor_ProspectHeights,IGNORE,1,,,,
